slug,name,age,position,score_agg,score_defender,score_passer,score_rebounder,score_scorer,score_shooter,points_per_game_score,made_field_goals_score,offensive_win_shares_score,true_shooting_percentage_score,made_three_point_field_goals_per_game_score,field_goal_pct_score,assists_per_game_score,assist_percentage_score,rebounds_per_game_score,total_rebound_percentage_score,defensive_win_shares_score,steal_percentage_score,block_percentage_score,year,rank_player,rank_player_pct,caliber,0,1,2,3,4,labels_ordered,labels
antetgi01,Giannis Antetokounmpo,26,POWER FORWARD,4.524600168350169,0.8743536556036555,0.9490440115440115,0.9644660894660895,0.9882996632996632,0.7484367484367485,0.39735449735449735,0.29487734487734485,0.29606782106782104,0.3642857142857143,0.2017316017316017,0.18241943241943243,0.47438672438672436,0.47465728715728717,0.49212361712361713,0.47234247234247234,0.49212361712361713,0.17022907647907648,0.212000962000962,2021,1.0,1.0,superstar,scorer,rebounder,passer,defender,shooter,"scorer,rebounder,passer,defender,shooter","['scorer', 'rebounder', 'passer', 'defender']"
doncilu01,Luka Doncic,21,POINT GUARD,4.422337962962963,0.7419808201058201,0.974537037037037,0.8930224867724867,0.9692129629629629,0.843584656084656,0.3923280423280423,0.29553571428571423,0.28134920634920635,0.30423280423280424,0.38095238095238093,0.1583994708994709,0.4828042328042328,0.4917328042328042,0.4732142857142857,0.41980820105820105,0.45436507936507936,0.09151785714285715,0.1960978835978836,2021,2.0,0.9973544973544973,superstar,passer,scorer,rebounder,shooter,defender,"passer,scorer,rebounder,shooter,defender","['passer', 'scorer', 'rebounder', 'shooter']"
jokicni01,Nikola Jokic,25,CENTER,4.408948700253048,0.7781084656084656,0.9947089947089947,0.8538216011042098,0.9912813434552565,0.7910282953761214,0.39128134345525656,0.3,0.3,0.34962042788129744,0.2895330112721417,0.15187485622268232,0.498015873015873,0.4966931216931217,0.46868530020703936,0.38513630089717044,0.47906602254428343,0.20922475270301355,0.08981769036116861,2021,3.0,0.9947089947089947,superstar,passer,scorer,rebounder,shooter,defender,"passer,scorer,rebounder,shooter,defender","['passer', 'scorer', 'rebounder', 'shooter']"
jamesle01,LeBron James,36,POINT GUARD,4.384350198412699,0.7664930555555555,0.9614748677248678,0.9103009259259259,0.9046130952380953,0.8414682539682541,0.37817460317460316,0.27013888888888893,0.25629960317460315,0.33425925925925926,0.3355820105820106,0.17162698412698413,0.4780092592592593,0.4834656084656085,0.46908068783068785,0.4412202380952381,0.4889219576719577,0.10734953703703703,0.17022156084656084,2021,4.0,0.9920634920634921,superstar,passer,rebounder,scorer,shooter,defender,"passer,rebounder,scorer,shooter,defender","['passer', 'rebounder', 'scorer', 'shooter']"
hardeja01,James Harden,31,POINT GUARD,4.335821759259259,0.6863012566137565,0.9875992063492064,0.923859126984127,0.8883267195767196,0.8497354497354498,0.3715608465608466,0.23273809523809524,0.28402777777777777,0.3588624338624339,0.3568783068783069,0.133994708994709,0.5,0.4875992063492064,0.4826388888888889,0.4412202380952381,0.38244047619047616,0.12375992063492064,0.1801008597883598,2021,5.0,0.9894179894179894,superstar,passer,rebounder,scorer,shooter,defender,"passer,rebounder,scorer,shooter,defender","['passer', 'rebounder', 'scorer', 'shooter']"
leonaka01,Kawhi Leonard,29,SMALL FORWARD,4.3221546039643055,0.7975079957356077,0.9191739714127773,0.7997117586669826,0.9777224986180211,0.8280383795309169,0.3901366184948275,0.2887763563136697,0.2988095238095238,0.35457632472557843,0.30428018636973864,0.1691818684355998,0.4616895680328516,0.4574844033799258,0.4436448708836769,0.3560668877833057,0.4608406380794441,0.23959567243149332,0.0970716852246703,2021,6.0,0.9867724867724867,star,scorer,passer,shooter,rebounder,defender,"scorer,passer,shooter,rebounder,defender","['scorer', 'passer', 'shooter']"
georgpa01,Paul George,30,SMALL FORWARD,4.222059839690436,0.708952756060965,0.9352345415778252,0.7742043749506436,0.9260127931769723,0.8776553739240307,0.37834636342099026,0.2791400142146411,0.26852641554134093,0.3402353312801074,0.39198847034667933,0.14543157229724396,0.46938916528468766,0.4658453762931375,0.42956842770275605,0.3446359472478876,0.42489437731975044,0.17472903340440654,0.10932934533680802,2021,7.0,0.9841269841269841,star,passer,scorer,shooter,rebounder,defender,"passer,scorer,shooter,rebounder,defender","['passer', 'scorer', 'shooter']"
embiijo01,Joel Embiid,26,CENTER,4.191044110881067,0.805936565447435,0.808086036346906,0.9080400276052449,0.96715263400046,0.7018288474810215,0.39894179894179893,0.27741545893719805,0.2907953761214631,0.3282608695652174,0.2604784909132736,0.11308948700253049,0.4078387393604785,0.40024729698642747,0.47296986427421206,0.4350701633310329,0.4706550494593973,0.1543377616747182,0.18094375431331955,2021,8.0,0.9814814814814815,star,scorer,rebounder,passer,defender,shooter,"scorer,rebounder,passer,defender,shooter","['scorer', 'rebounder', 'passer']"
butleji01,Jimmy Butler,31,SMALL FORWARD,4.1327519150280345,0.830065940140567,0.9880952380952381,0.8637171286425018,0.91502112453605,0.5358524836136777,0.3686725104635553,0.25116678512200896,0.29518182895048567,0.31066492932164574,0.06726684040116876,0.15792071389086315,0.49272486772486773,0.49537037037037035,0.45970544104872463,0.40401168759377715,0.47139797046513465,0.24933862433862433,0.10932934533680802,2021,9.0,0.9788359788359788,star,passer,scorer,rebounder,defender,shooter,"passer,scorer,rebounder,defender,shooter","['passer', 'scorer', 'rebounder']"
brownja02,Jaylen Brown,24,SHOOTING GUARD,4.130996117084827,0.7956295869602321,0.7575098139614268,0.8020673323092677,0.95347328895716,0.8223160948967401,0.3829663765147636,0.2921979006656426,0.2783090117767537,0.29425669909540875,0.36205837173579114,0.16600102406554018,0.3900622973203618,0.367447516641065,0.44576719576719576,0.35630013654207204,0.4484660351595835,0.1758779228537293,0.1712856289469193,2021,10.0,0.9761904761904762,star,scorer,shooter,rebounder,defender,passer,"scorer,shooter,rebounder,defender,passer","['scorer', 'shooter', 'rebounder']"
